Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-04,10.873700939725198,10.883685248705248,10.384433614319743,10.454329490661621,79949500,0.0,0
2021-01-05,10.414389242132831,10.863715515905522,10.404403981055305,10.753880500793457,83700300,0.0,0
2021-01-06,10.813789231300728,11.602606695787916,10.813789231300728,11.342995643615723,131584600,0.0,0
2021-01-07,11.542697765252443,11.552682073851267,11.22317608391795,11.253131866455078,75289800,0.0,0
2021-01-08,11.273101305699452,11.4228764076677,11.143295772945097,11.323026657104492,72719700,0.0,0
2021-01-11,11.093371016726747,11.512742467434402,11.043446614890014,11.432862281799316,67253600,0.0,0
2021-01-12,11.492772815664251,11.892173741007882,11.392922108204884,11.762368202209473,91439300,0.0,0
2021-01-13,11.762367636698464,11.802307727312588,11.502757523830097,11.552681922912598,53713600,0.0,0
2021-01-14,11.592621305467548,11.712441569991483,11.562666477398267,11.642546653747559,59209500,0.0,0
2021-01-15,11.582637043775948,11.582637043775948,11.233160556669718,11.313040733337402,73609500,0.0,0
2021-01-19,11.462816741832418,11.632562368867122,11.382936558786309,11.41289234161377,63499400,0.0,0
2021-01-20,11.482787476908564,11.482787476908564,11.283087015585625,11.372952461242676,59015900,0.0,0
2021-01-21,11.382936550127239,11.412892332931914,11.053430557250975,11.053430557250977,65602700,0.0,0
2021-01-22,10.953580596181553,11.163266310589204,10.883684723214419,11.09337043762207,52919400,0.0,0
2021-01-25,11.123325892863752,11.133310201068225,10.753879826386488,10.973549842834473,92020900,0.0,0
2021-01-26,12.01199297689665,12.211693422249873,11.18323541449565,11.273100852966309,211803400,0.0,0
2021-01-27,11.063416315369752,11.542698387067379,10.624075289206619,11.362967491149902,149439900,0.0,0
2021-01-28,11.39292219378591,11.45283280916095,11.053430928570185,11.07340145111084,94099300,0.0,0
2021-01-29,10.983535545619564,11.2231760926211,10.654029555430727,10.66401481628418,109258800,0.0,0
2021-02-01,10.84374491212851,10.983535709420934,10.62407488355786,10.72392463684082,66685800,0.0,0
2021-02-02,10.863715184886495,11.333011966514695,10.823775094040279,11.223176002502441,84465900,0.0,0
2021-02-03,11.22317621372926,11.283086827249578,11.053430586376408,11.183236122131348,54214800,0.0,0
2021-02-04,11.213191295179373,11.482787635882977,11.173251202361831,11.432862281799316,66767800,0.0,0
2021-02-05,11.492772442751912,11.532712533990317,11.303056295184323,11.382936477661133,51818400,0.0,0
2021-02-08,11.452831964792916,11.632561893173465,11.39292135383483,11.592621803283691,42454500,0.0,0
2021-02-09,11.542697533925468,11.582637624260979,11.392921480982146,11.522727012634277,52738300,0.0,0
2021-02-10,11.572652625228722,11.572652625228722,11.362966908165374,11.382936477661133,45559900,0.0,0
2021-02-11,11.372952329301661,11.452832512904124,11.173250918048604,11.44284725189209,51829200,0.0,0
2021-02-12,11.392921670083734,11.722427658882621,11.36296683989662,11.712442398071289,58439700,0.0,0
2021-02-16,11.80230753608512,11.962067895953089,11.762367446118127,11.952083587646484,60312000,0.0,0
2021-02-17,11.822278393523478,11.932113405995684,11.742398211316987,11.84224796295166,42940100,0.0,0
2021-02-18,11.822278413857982,11.84224798332051,11.492772423627724,11.612592697143555,48854600,0.0,0
2021-02-19,11.702458229587215,12.01199370046863,11.66251813811068,12.002009391784668,61049000,0.0,0
2021-02-22,12.051933187560062,12.68099031095444,12.01199309808646,12.481289863586426,96636300,0.0,0
2021-02-23,12.581140808720523,12.631065207350895,12.161769384946714,12.571155548095703,72042500,0.0,0
2021-02-24,12.780841105869143,13.330018054402958,12.631065055043456,13.100361824035645,106791000,0.0,0
2021-02-25,13.080393211001994,13.250138842992246,12.641051239175363,12.740901947021484,92337300,0.0,0
2021-02-26,12.661020530904068,12.820780886130507,12.391424217274329,12.52122974395752,88729800,0.0,0
2021-03-01,12.900661661384367,13.270107738022306,12.770856128687761,13.090376853942871,78037600,0.0,0
2021-03-02,13.130317878159147,13.230168588024144,12.95058793354787,12.960572242736816,77205400,0.0,0
2021-03-03,13.070407220874545,13.599613657554281,13.030467130412807,13.419882774353027,117572300,0.0,0
2021-03-04,13.859225730707298,14.108851552329012,13.16027362061588,13.549689292907715,166561700,0.0,0
2021-03-05,13.789506463592835,13.799499088150627,13.13000848996455,13.589658737182617,104975500,0.01,0
2021-03-08,14.199194054104426,14.329095310054253,13.79949861498888,14.159224510192871,143717600,0.0,0
2021-03-09,14.089278472882793,14.409034833850066,13.819483328604813,13.989354133605957,114467700,0.0,0
2021-03-10,13.63961988154215,13.729551596185802,12.910175445786527,13.239924430847168,220230400,0.0,0
2021-03-11,12.680349441591867,12.850220240944516,11.940912404968033,12.260669708251953,305805300,0.0,0
2021-03-12,12.230692013007566,12.610403161009485,12.220699388677463,12.570433616638184,134551900,0.0,0
2021-03-15,12.730311776372764,13.349840189738647,12.720319152056595,13.339848518371582,111402500,0.0,0
2021-03-16,13.319863776054346,13.339849025446364,13.060061251652968,13.140000343322754,74456200,0.0,0
2021-03-17,13.189962306394468,13.599650382995605,13.120015840520848,13.599650382995605,79227100,0.0,0
2021-03-18,13.579666040412464,13.67958942661165,13.179969636768359,13.239924430847168,63761100,0.0,0
2021-03-19,13.189962336935617,13.339848846517881,12.970129361317769,13.20994758605957,68472000,0.0,0
2021-03-22,13.149992063424904,13.229931149595645,12.920167428921292,13.120015144348145,52789100,0.0,0
2021-03-23,12.950144559703395,13.169977526741238,12.540456498143612,12.650372505187988,65655100,0.0,0
2021-03-24,12.750297247140407,13.010099766192434,12.490494728088379,12.490494728088379,62073500,0.0,0
2021-03-25,12.390570459305003,12.920168124900703,12.220699653804365,12.840229034423828,73391900,0.0,0
2021-03-26,12.940152068399644,13.120015493545527,12.700334803504534,12.980121612548828,60524700,0.0,0
2021-03-29,12.910175248167945,13.04007650589267,12.770281366091524,12.940152168273926,53762900,0.0,0
2021-03-30,12.970129164131327,13.349840315171495,12.890190074749095,13.289886474609375,52925100,0.0,0
